dispute_id,invoice_id,customer_id,opened_date,disputed_amount,currency,reason_code,owner_team,root_cause,dispute_status,expected_resolution_date,cash_blocked_flag,created_at
DISP-00021,INV-000452,CUST-0094,2026-05-12,1458.0,USD,Duplicate,Sales,Expectation gap,open,2026-06-30,1,2026-05-12
DISP-00022,INV-000451,CUST-0094,2026-04-14,1446.59,USD,Pricing,Billing,Quote-to-cash gap,resolved,2026-06-30,0,2026-04-14
DISP-00023,INV-000391,CUST-0083,2026-05-30,1080.16,GBP,Pricing,Customer Success,Manual error,open,2026-06-30,1,2026-05-30
DISP-00024,INV-000070,CUST-0016,2026-03-30,894.83,USD,Contract terms,Customer Success,Expectation gap,open,2026-06-30,0,2026-03-30
DISP-00025,INV-000196,CUST-0051,2026-05-30,1470.72,USD,Service quality,Billing,Manual error,open,2026-06-30,0,2026-05-30
DISP-00026,INV-000068,CUST-0016,2025-12-30,1650.19,USD,Contract terms,Legal,Expectation gap,open,2026-06-30,1,2025-12-30
DISP-00027,INV-000119,CUST-0024,2026-05-13,1557.07,USD,Billing error,Legal,Expectation gap,open,2026-06-30,1,2026-05-13
DISP-00028,INV-000071,CUST-0016,2026-05-07,816.25,USD,Contract terms,Billing,Manual error,open,2026-06-30,1,2026-05-07
DISP-00029,INV-000300,CUST-0071,2025-05-15,1893.59,USD,Pricing,Customer Success,Expectation gap,resolved,2026-06-30,1,2025-05-15
DISP-00030,INV-000301,CUST-0071,2025-06-14,1108.43,USD,Billing error,Billing,Expectation gap,open,2026-06-30,1,2025-06-14
DISP-00031,INV-000310,CUST-0071,2026-03-15,1903.07,USD,Billing error,Billing,Manual error,open,2026-06-30,1,2026-03-15
DISP-00032,INV-000312,CUST-0071,2026-05-13,1876.5,USD,Service quality,Customer Success,Quote-to-cash gap,open,2026-06-30,1,2026-05-13
DISP-00033,INV-000519,CUST-0103,2026-04-14,2028.47,BRL,Billing error,Billing,Manual error,open,2026-06-30,1,2026-04-14
DISP-00034,INV-000001,CUST-0002,2025-11-30,1876.09,USD,Service quality,Sales,Manual error,open,2026-06-30,1,2025-11-30
DISP-00035,INV-000064,CUST-0016,2026-05-28,1466.14,USD,Service quality,Legal,Expectation gap,open,2026-06-30,0,2026-05-28
DISP-00036,INV-000146,CUST-0033,2026-05-30,1244.56,USD,Pricing,Billing,Manual error,open,2026-06-30,1,2026-05-30
DISP-00037,INV-000161,CUST-0037,2026-05-27,1243.05,USD,Billing error,Billing,Expectation gap,resolved,2026-06-30,1,2026-05-27
DISP-00038,INV-000005,CUST-0002,2025-09-30,1579.17,USD,Pricing,Sales,Manual error,resolved,2026-06-30,1,2025-09-30
DISP-00039,INV-000006,CUST-0002,2025-11-06,2472.44,USD,Duplicate,Billing,Manual error,resolved,2026-06-30,1,2025-11-06
DISP-00040,INV-000008,CUST-0002,2025-12-30,1554.67,EUR,Billing error,Billing,Manual error,open,2026-06-30,1,2025-12-30
DISP-00041,INV-000011,CUST-0002,2026-04-27,1711.56,USD,Service quality,Sales,Manual error,resolved,2026-06-30,1,2026-04-27
DISP-00042,INV-000106,CUST-0023,2025-10-30,1762.87,USD,Billing error,Billing,Expectation gap,open,2026-06-30,1,2025-10-30
DISP-00043,INV-000112,CUST-0023,2026-04-27,1986.31,USD,Billing error,Billing,Manual error,open,2026-06-30,1,2026-04-27
DISP-00044,INV-000548,CUST-0109,2026-03-30,2349.44,GBP,Contract terms,Sales,Manual error,open,2026-06-30,1,2026-03-30
DISP-00045,INV-000470,CUST-0098,2026-05-28,2297.27,USD,Billing error,Legal,Expectation gap,resolved,2026-06-30,1,2026-05-28
DISP-00046,INV-000111,CUST-0023,2026-03-30,1322.62,USD,Contract terms,Sales,Expectation gap,open,2026-06-30,1,2026-03-30
DISP-00047,INV-000273,CUST-0067,2026-03-01,1246.4,USD,Pricing,Legal,Manual error,open,2026-06-30,0,2026-03-01
DISP-00048,INV-000004,CUST-0002,2025-08-30,2511.23,USD,Pricing,Customer Success,Manual error,open,2026-06-30,0,2025-08-30
DISP-00049,INV-000113,CUST-0023,2026-05-28,1656.23,USD,Service quality,Sales,Quote-to-cash gap,resolved,2026-06-30,1,2026-05-28
DISP-00050,INV-000060,CUST-0016,2025-12-30,2281.08,USD,Contract terms,Customer Success,Quote-to-cash gap,escalated,2026-06-30,1,2025-12-30
DISP-00051,INV-000031,CUST-0007,2026-01-14,2870.06,USD,Service quality,Customer Success,Manual error,open,2026-06-30,0,2026-01-14
DISP-00052,INV-000028,CUST-0007,2025-10-14,2886.86,USD,Billing error,Legal,Expectation gap,resolved,2026-06-30,1,2025-10-14
DISP-00053,INV-000469,CUST-0098,2026-04-27,2361.07,USD,Duplicate,Sales,Expectation gap,open,2026-06-30,0,2026-04-27
DISP-00054,INV-000255,CUST-0061,2025-05-27,2592.17,USD,Pricing,Customer Success,Expectation gap,open,2026-06-30,1,2025-05-27
DISP-00055,INV-000030,CUST-0007,2025-12-14,3378.92,USD,Billing error,Sales,Quote-to-cash gap,escalated,2026-06-30,1,2025-12-14
DISP-00056,INV-000150,CUST-0034,2026-05-30,2421.56,EUR,Service quality,Legal,Expectation gap,open,2026-06-30,1,2026-05-30
DISP-00057,INV-000167,CUST-0038,2025-08-14,1805.23,EUR,Pricing,Billing,Manual error,open,2026-06-30,1,2025-08-14
DISP-00058,INV-000168,CUST-0038,2025-09-13,3951.89,EUR,Pricing,Sales,Quote-to-cash gap,open,2026-06-30,1,2025-09-13
DISP-00059,INV-000487,CUST-0101,2026-05-12,3332.77,USD,Billing error,Sales,Manual error,open,2026-06-30,1,2026-05-12
DISP-00060,INV-000017,CUST-0004,2026-01-14,2102.82,USD,Billing error,Sales,Expectation gap,open,2026-06-30,1,2026-01-14
DISP-00061,INV-000101,CUST-0022,2026-04-01,2642.73,USD,Service quality,Sales,Manual error,resolved,2026-06-30,1,2026-04-01
DISP-00062,INV-000625,CUST-0119,2026-01-15,5217.79,USD,Service quality,Billing,Manual error,open,2026-06-30,0,2026-01-15
DISP-00063,INV-000626,CUST-0119,2026-04-15,5214.63,USD,Pricing,Customer Success,Quote-to-cash gap,open,2026-06-30,1,2026-04-15
DISP-00064,INV-000609,CUST-0114,2026-04-27,4564.26,GBP,Service quality,Billing,Manual error,open,2026-06-30,1,2026-04-27
DISP-00065,INV-000159,CUST-0037,2026-04-01,6612.64,USD,Pricing,Billing,Expectation gap,open,2026-06-30,1,2026-04-01
DISP-00066,INV-000051,CUST-0010,2026-03-02,4021.63,USD,Duplicate,Billing,Manual error,open,2026-06-30,0,2026-03-02
DISP-00067,INV-000485,CUST-0101,2026-03-16,5470.93,USD,Billing error,Customer Success,Expectation gap,resolved,2026-06-30,1,2026-03-16
DISP-00068,INV-000459,CUST-0096,2025-04-14,5035.06,USD,Service quality,Sales,Expectation gap,open,2026-06-30,1,2025-04-14
DISP-00069,INV-000463,CUST-0096,2026-04-14,4369.74,USD,Pricing,Legal,Manual error,resolved,2026-06-30,1,2026-04-14
DISP-00070,INV-000243,CUST-0058,2026-03-01,6222.44,USD,Contract terms,Sales,Manual error,open,2026-06-30,1,2026-03-01
DISP-00071,INV-000246,CUST-0058,2026-05-28,5363.51,USD,Duplicate,Sales,Quote-to-cash gap,resolved,2026-06-30,1,2026-05-28
DISP-00072,INV-000662,CUST-0003,2026-05-30,5990.6,EUR,Service quality,Customer Success,Quote-to-cash gap,resolved,2026-06-30,0,2026-05-30
DISP-00073,INV-000334,CUST-0076,2026-04-27,8295.61,USD,Pricing,Legal,Expectation gap,open,2026-06-30,1,2026-04-27
DISP-00074,INV-000226,CUST-0055,2026-05-28,9297.28,EUR,Contract terms,Sales,Expectation gap,open,2026-06-30,1,2026-05-28
DISP-00075,INV-000282,CUST-0069,2025-11-29,8492.66,USD,Service quality,Sales,Expectation gap,resolved,2026-06-30,1,2025-11-29
DISP-00076,INV-000261,CUST-0065,2026-05-30,7435.41,USD,Billing error,Billing,Quote-to-cash gap,open,2026-06-30,1,2026-05-30
DISP-00077,INV-000496,CUST-0102,2026-03-01,5525.76,GBP,Pricing,Billing,Expectation gap,escalated,2026-06-30,0,2026-03-01
DISP-00078,INV-000135,CUST-0029,2026-05-12,9572.08,USD,Pricing,Sales,Quote-to-cash gap,open,2026-06-30,1,2026-05-12
DISP-00079,INV-000278,CUST-0067,2025-03-30,12830.91,USD,Service quality,Legal,Expectation gap,open,2026-06-30,0,2025-03-30
DISP-00080,INV-000333,CUST-0076,2026-03-30,7676.29,USD,Duplicate,Sales,Expectation gap,open,2026-06-30,0,2026-03-30
DISP-00081,INV-000043,CUST-0007,2026-03-16,7181.01,USD,Service quality,Customer Success,Manual error,escalated,2026-06-30,1,2026-03-16
DISP-00082,INV-000623,CUST-0118,2026-03-02,13383.83,USD,Pricing,Customer Success,Manual error,resolved,2026-06-30,1,2026-03-02
DISP-00083,INV-000200,CUST-0052,2026-04-30,9760.18,USD,Contract terms,Sales,Manual error,resolved,2026-06-30,1,2026-04-30
DISP-00084,INV-000508,CUST-0103,2026-03-16,10415.93,BRL,Pricing,Customer Success,Manual error,open,2026-06-30,1,2026-03-16
DISP-00085,INV-000509,CUST-0103,2026-04-14,7243.91,BRL,Contract terms,Customer Success,Expectation gap,resolved,2026-06-30,1,2026-04-14
DISP-00086,INV-000510,CUST-0103,2026-05-12,9813.67,BRL,Duplicate,Sales,Quote-to-cash gap,open,2026-06-30,1,2026-05-12
DISP-00087,INV-000492,CUST-0102,2025-10-30,8644.48,GBP,Billing error,Sales,Expectation gap,open,2026-06-30,1,2025-10-30
DISP-00088,INV-000494,CUST-0102,2025-12-30,7048.6,GBP,Billing error,Billing,Manual error,open,2026-06-30,1,2025-12-30
DISP-00089,INV-000498,CUST-0102,2026-04-27,10759.67,GBP,Pricing,Billing,Expectation gap,open,2026-06-30,1,2026-04-27
DISP-00090,INV-000499,CUST-0102,2026-05-28,11915.01,GBP,Pricing,Sales,Quote-to-cash gap,open,2026-06-30,1,2026-05-28
DISP-00091,INV-000039,CUST-0007,2025-09-13,8795.72,USD,Pricing,Legal,Quote-to-cash gap,resolved,2026-06-30,1,2025-09-13
DISP-00092,INV-000234,CUST-0058,2025-08-29,12063.6,USD,Billing error,Billing,Expectation gap,resolved,2026-06-30,0,2025-08-29
DISP-00093,INV-000237,CUST-0058,2026-05-30,19218.15,USD,Pricing,Billing,Quote-to-cash gap,open,2026-06-30,1,2026-05-30
DISP-00094,INV-000122,CUST-0026,2025-09-30,20087.16,EUR,Service quality,Sales,Manual error,resolved,2026-06-30,1,2025-09-30
DISP-00095,INV-000125,CUST-0026,2026-05-28,18605.66,EUR,Billing error,Customer Success,Expectation gap,escalated,2026-06-30,1,2026-05-28
DISP-00096,INV-000676,CUST-0049,2026-03-30,22154.91,USD,Pricing,Sales,Expectation gap,open,2026-06-30,0,2026-03-30
DISP-00097,INV-000186,CUST-0048,2026-04-14,21754.89,EUR,Service quality,Sales,Expectation gap,open,2026-06-30,0,2026-04-14
DISP-00098,INV-000187,CUST-0048,2026-05-12,14229.55,EUR,Service quality,Customer Success,Manual error,open,2026-06-30,1,2026-05-12
DISP-00099,INV-000263,CUST-0066,2025-07-30,23690.42,USD,Billing error,Legal,Manual error,resolved,2026-06-30,1,2025-07-30
DISP-00100,INV-000018,CUST-0004,2026-02-13,24635.96,USD,Billing error,Sales,Quote-to-cash gap,resolved,2026-06-30,0,2026-02-13
DISP-00101,INV-000221,CUST-0055,2026-05-30,18653.91,EUR,Pricing,Billing,Expectation gap,resolved,2026-06-30,0,2026-05-30
DISP-00102,INV-000595,CUST-0114,2025-10-30,15738.7,GBP,Pricing,Customer Success,Quote-to-cash gap,resolved,2026-06-30,1,2025-10-30
DISP-00103,INV-000215,CUST-0053,2025-11-30,15675.54,GBP,Service quality,Sales,Expectation gap,open,2026-06-30,1,2025-11-30
DISP-00104,INV-000340,CUST-0079,2025-10-15,19403.35,GBP,Pricing,Sales,Expectation gap,resolved,2026-06-30,1,2025-10-15
DISP-00105,INV-000422,CUST-0089,2026-04-29,28837.66,GBP,Duplicate,Legal,Expectation gap,open,2026-06-30,1,2026-04-29
DISP-00106,INV-000597,CUST-0114,2026-04-29,27677.6,GBP,Billing error,Legal,Quote-to-cash gap,resolved,2026-06-30,1,2026-04-29
DISP-00107,INV-000129,CUST-0027,2025-06-29,25056.54,USD,Contract terms,Sales,Manual error,open,2026-06-30,0,2025-06-29
DISP-00108,INV-000573,CUST-0111,2026-04-12,21092.76,MXN,Contract terms,Customer Success,Expectation gap,open,2026-06-30,0,2026-04-12
DISP-00109,INV-000423,CUST-0089,2025-11-30,39675.11,GBP,Contract terms,Customer Success,Expectation gap,open,2026-06-30,1,2025-11-30
DISP-00110,INV-000657,CUST-0124,2026-01-29,23440.78,BRL,Service quality,Legal,Expectation gap,open,2026-06-30,1,2026-01-29
